321,257,22,100,580,23,211,515,18,12,1,2,214,11,248,916,280,359,10,45,10,0,15,33,110,43,6,8,548,45,845,2428,11,13,1,3,20,0,4,38,1,1,0,0,8,0,3,13,87,36,12,16,18,3,10,14,241,27,6,17,1520,23,767,761,441,15,23,14,713,4,97,123,23,0,0,2,137,2,51,31,27,6,1,2,5,0,3,0,14,0,1,0,142,0,28,39,103,10,3,7,74,1,6,28,3,1,0,0,22,1,8,23,364,34,28,21,82,0,25,23,1190,22,23,12,3866,26,785,576,21,126,2,209,19,16,6,1598,0,7,0,5,8,20,7,694,13,40,3,35,2,0,2,28,5,2,0,14,33,15,11,730,1,3,0,5,0,1,0,16,0,0,0,1,0,0,3,12,1,11,0,10,0,2,0,21,3,15,0,41,24,14,5,851,139,369,2,950,99,91,19,3518,4,24,0,28,14,991,9,761,6,38,3,22,0,2,1,38,12,22,0,16,43,24,14,582,133,531,3,489,38,20,8,521,5,14,0,7,9,17,43,448,476,1277,8,550,8,25,9,464,431,473,14,609,566,410,435,0
609,503,43,211,1056,32,382,1168,31,20,2,4,373,20,417,1499,507,545,22,74,25,2,29,71,205,68,7,20,1060,77,1668,4084,26,18,2,10,41,0,11,66,5,2,0,0,11,1,4,24,178,63,14,24,28,5,19,31,501,51,11,27,2850,46,1351,1363,844,33,32,26,1368,16,193,217,38,2,2,3,227,2,91,60,39,6,1,2,10,1,3,0,30,1,1,0,240,1,57,67,221,19,10,18,134,2,15,49,5,2,0,0,37,1,19,36,782,66,53,36,148,0,48,31,2553,41,54,27,7438,59,1506,1156,38,224,6,473,40,31,10,3474,0,9,0,12,15,28,9,1396,21,64,4,62,4,1,2,53,9,6,1,29,55,28,28,1365,1,6,0,10,2,1,0,41,0,0,0,2,0,0,3,25,3,22,1,28,1,2,0,44,10,23,0,91,42,37,13,1580,262,843,6,2436,187,172,39,8492,13,48,0,52,23,1984,19,1595,17,63,4,36,2,2,1,70,22,32,0,29,67,39,22,1170,262,1068,4,1015,66,37,15,1153,9,28,0,19,23,29,72,822,1066,2272,15,1025,35,41,23,908,1034,932,25,1226,1124,840,805,0
911,815,53,305,1628,51,561,1786,49,27,3,7,523,24,605,2184,778,795,32,112,39,3,33,110,294,95,12,40,1674,111,2386,6088,41,28,2,16,56,1,14,102,5,4,0,0,15,1,7,35,292,87,23,29,40,5,36,43,659,79,14,41,4322,59,1981,2014,1241,47,47,37,2296,19,289,321,59,2,3,3,347,4,138,91,54,8,2,2,16,3,3,0,45,3,1,0,349,2,82,104,335,24,11,26,186,7,26,74,10,2,0,0,51,2,31,44,1140,90,82,54,217,0,76,42,3656,55,76,49,11792,86,2306,1803,42,302,9,654,57,47,15,5111,0,17,0,14,19,35,9,2080,28,96,5,83,4,1,2,81,13,14,1,42,89,41,45,2001,1,10,0,12,3,1,1,69,0,0,0,4,0,0,3,30,7,36,1,39,1,3,0,63,11,26,0,121,65,54,20,2402,346,1227,6,3356,274,253,50,13112,19,76,1,74,34,2970,31,2442,23,95,5,50,3,3,2,105,33,47,1,36,103,58,30,1861,360,1428,9,1348,94,48,26,1706,10,43,0,25,32,40,125,1316,1333,3040,21,1417,51,58,33,1333,1357,1314,33,1752,1662,1166,1187,0
1733,1357,104,535,2385,84,829,2381,97,43,6,14,737,46,862,2736,1160,1056,70,182,74,7,69,161,440,133,20,65,2159,143,3235,6832,88,55,2,30,101,4,26,154,13,9,0,1,26,4,14,56,438,141,38,56,63,7,62,65,1055,115,32,76,5720,73,2471,2490,1966,81,92,62,3177,27,389,411,112,2,12,6,445,9,181,123,81,12,4,5,25,3,6,0,76,6,6,2,459,5,100,129,547,67,20,60,293,10,49,124,22,4,3,0,90,6,48,71,1592,136,125,69,309,1,119,70,5085,80,107,84,14806,110,2819,2126,98,494,13,1088,98,79,30,6827,3,37,0,26,35,56,21,2787,52,151,7,130,5,3,5,112,23,30,2,73,126,67,89,2581,5,17,0,31,9,3,2,117,2,0,0,6,3,0,6,53,15,60,5,81,1,5,1,101,27,57,2,226,109,92,39,3471,592,1853,15,4919,377,361,93,16188,34,121,1,115,53,3974,66,3142,52,139,6,86,9,3,4,133,52,82,2,74,135,84,80,2300,630,2570,16,2124,149,69,44,2397,16,71,4,51,59,81,189,1986,1821,3967,45,2051,74,85,65,1793,1835,1789,51,2754,2190,1464,1720,0
2269,1661,144,671,3047,101,1045,2955,129,59,7,18,948,70,1044,3252,1475,1188,97,213,100,10,104,194,567,164,27,89,2774,175,3819,7567,118,78,5,46,135,5,34,197,18,11,1,2,36,7,20,75,602,179,49,63,89,8,77,82,1424,157,43,97,7465,99,2997,2971,2534,103,125,89,4035,32,500,512,154,7,15,7,568,11,222,154,114,19,5,5,34,3,6,4,95,7,10,3,582,7,139,148,703,85,33,76,396,10,64,174,31,9,3,3,135,12,57,94,2153,160,170,83,411,4,159,88,7020,105,164,110,19921,125,3420,2499,130,642,15,1439,124,103,42,8526,10,53,1,39,48,77,26,3424,67,175,11,170,6,3,7,137,34,44,2,93,157,91,118,3062,10,25,0,42,10,5,3,158,2,0,0,6,4,0,7,70,16,72,5,103,4,6,2,132,34,74,6,301,150,116,59,4394,787,2428,19,6471,457,463,128,20405,43,151,3,159,70,4979,86,3847,70,159,7,115,12,4,6,169,70,104,3,99,186,101,108,2695,793,3177,18,2719,183,94,64,3064,24,94,5,69,73,107,246,2421,2249,4568,69,2487,97,110,90,2172,2370,2259,61,3657,2861,1869,2191,0
2803,1961,171,799,3927,131,1270,3460,155,70,7,20,1164,85,1218,3589,1819,1421,105,249,119,13,110,213,709,210,29,109,3274,200,4252,8234,147,92,6,56,157,8,42,221,22,13,1,2,41,7,26,86,734,218,61,70,112,9,92,96,1765,195,52,118,9184,122,3503,3479,3305,118,152,113,5371,35,625,626,193,10,17,9,698,13,271,168,131,20,7,6,39,4,9,5,117,9,13,4,691,9,164,163,906,96,41,92,511,15,85,197,44,11,4,3,162,15,67,110,2703,190,194,92,517,4,183,101,8837,125,197,150,24313,152,3969,2834,170,783,17,1815,169,133,50,10821,11,59,1,47,52,88,30,3912,78,216,14,197,7,3,7,156,39,51,2,121,182,107,137,3525,14,29,0,50,10,6,5,198,3,0,0,7,6,0,7,79,22,94,5,117,4,6,3,165,48,102,8,402,170,139,72,5533,983,2903,30,8139,578,572,155,24941,54,180,4,186,86,5966,111,4422,82,189,7,129,15,9,7,186,82,120,4,122,228,115,120,2984,1051,3904,21,3184,224,114,71,3586,30,112,5,81,92,122,319,2794,2866,5647,81,2984,114,124,105,2465,2876,2794,72,4608,3368,2149,2640,0
3233,2171,209,936,4510,147,1482,3987,187,89,9,25,1376,117,1405,4086,2036,1482,160,280,146,15,184,249,812,237,37,119,3807,234,5713,9354,180,134,10,76,177,12,56,267,24,14,1,3,51,8,34,113,844,244,83,95,125,10,127,116,1889,213,60,132,10168,133,4240,4121,3587,143,172,124,5907,46,701,725,226,14,19,10,799,18,328,211,144,25,9,7,45,4,10,5,132,9,15,6,826,14,216,198,979,178,51,117,554,16,98,232,48,15,4,4,169,18,73,145,2911,225,230,119,551,4,206,127,9221,141,214,173,25990,171,4679,3532,189,917,20,1987,193,144,56,12082,13,75,1,54,64,106,36,4659,87,227,16,219,10,4,9,183,48,60,2,134,234,132,182,4210,16,34,0,51,10,9,6,216,3,0,0,8,7,1,10,89,23,105,7,127,4,8,3,187,53,109,9,423,188,157,88,6415,1074,3242,36,8681,621,615,176,27042,67,228,4,211,103,6968,120,5236,94,211,10,155,16,11,8,218,100,147,5,142,274,142,178,3761,1140,4814,30,3672,241,128,78,4008,34,141,5,90,101,157,334,3171,3053,6076,93,3309,126,136,119,2773,3109,3059,79,4971,3710,2414,2970,0
3490,2337,222,1009,5297,155,1676,4519,203,101,11,29,1570,127,1531,4636,2187,1555,189,292,159,18,205,265,878,251,40,124,4511,266,6342,10420,193,151,11,88,220,13,63,309,24,14,1,4,55,8,38,125,933,260,97,103,136,11,150,134,2101,227,70,143,12451,145,4964,4741,3904,158,197,136,6997,56,826,840,264,16,27,10,944,22,388,251,155,29,10,7,49,4,11,6,146,10,15,8,974,14,255,238,1074,209,56,128,610,17,106,263,52,16,4,4,184,19,79,158,3211,252,263,129,617,5,234,142,10253,163,250,202,31935,195,5807,4466,198,988,21,2140,219,154,63,14127,13,83,1,61,68,119,39,5216,100,242,17,233,11,5,11,193,50,62,2,145,273,144,204,4707,16,34,0,55,17,9,7,243,3,2,0,8,7,2,11,99,24,110,7,136,4,9,3,205,56,123,9,471,228,171,97,7520,1131,3501,37,9212,681,656,186,30978,68,273,4,232,113,7967,124,6003,96,230,11,169,17,16,8,232,105,157,5,154,324,167,196,4405,1188,5078,30,3899,261,140,83,4391,36,153,5,98,108,176,346,3367,3209,6410,99,3510,134,152,129,3028,3310,3323,81,5427,4156,2679,3234,0
3990,2657,247,1201,6175,183,1926,5224,228,122,12,37,1793,153,1752,5606,2431,1797,218,356,180,22,239,336,1000,283,47,138,5079,314,7539,12244,210,166,14,101,247,13,71,352,26,21,1,4,58,9,46,146,1028,291,112,115,159,11,179,165,2318,254,84,165,13594,166,5624,5401,4548,172,229,166,7900,68,933,970,295,20,30,11,1053,25,433,274,172,34,13,9,49,4,14,8,165,14,16,12,1060,17,271,275,1221,232,65,150,689,19,121,305,62,17,5,4,201,23,93,178,3575,278,300,153,677,7,264,176,11091,181,282,232,34111,218,6440,4968,216,1118,29,2427,258,177,73,15935,16,99,1,75,82,139,44,6209,112,283,19,265,15,8,12,225,57,77,3,170,316,178,231,5545,17,35,0,65,21,10,7,276,3,2,0,8,7,2,11,108,27,121,8,153,4,11,3,232,62,133,10,557,252,188,111,8643,1299,4012,43,10482,771,749,219,34874,78,310,4,275,129,8972,136,6962,109,286,11,193,19,17,8,262,125,184,5,187,366,197,235,5106,1309,5586,34,4575,285,157,97,5171,40,168,6,113,125,200,363,3905,3575,7310,107,4028,151,172,153,3483,3706,3720,88,6249,4583,2983,3668,0
4387,2816,267,1285,7204,196,2106,5697,250,129,15,40,2044,165,1904,6020,2595,1902,229,376,195,24,254,349,1073,294,51,148,5525,329,8256,13056,225,180,14,111,277,14,75,375,26,22,1,4,62,11,52,155,1098,312,117,122,173,11,187,177,2620,276,97,193,15598,177,6143,5901,5287,186,261,184,9476,78,1024,1061,348,22,36,11,1202,26,466,292,186,36,13,10,56,4,17,9,194,15,16,14,1200,17,288,291,1349,242,71,154,779,21,132,324,67,17,5,4,229,23,100,188,3967,296,319,161,753,7,281,188,13148,195,325,259,40503,238,6997,5408,233,1183,31,2712,291,198,79,18615,17,107,2,82,85,147,47,6615,116,297,23,288,17,8,12,252,60,90,4,185,337,191,247,5996,18,39,0,74,28,10,7,297,3,4,0,8,8,2,11,117,29,130,8,169,4,13,3,261,66,147,11,640,284,210,119,10003,1473,4352,49,11716,866,835,242,39253,82,327,5,302,139,9952,146,7461,116,298,12,205,20,18,11,281,129,191,7,204,391,205,252,5458,1426,6006,34,4915,313,163,105,5559,42,189,6,121,139,214,386,4108,4058,7969,119,4359,161,189,165,3761,4124,4143,91,7257,5061,3316,3915,0
